id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,"Patterns, Causes, and Mortality Trends of Road Traffic Accidents in Hamedan Province, Iran: A Spatiotemporal Epidemiological Analysis (2011–2024)",Jalili E.,2026-12-01,26,,10.34172/jrhs.11510,SCOPUS_ID:105020826478
2,Correlates of Anxiety and Depression Among Youth in India: Findings from a Large-Scale Population-Based Cross-sectional Study,Saraswat N.,2026-12-01,26,,10.34172/jrhs.11330,SCOPUS_ID:105020730487
3,Long-term functionality and quality of life after open pelvic ring fractures,Cerbasi S.,2026-12-01,36,,10.1007/s00590-025-04607-8,SCOPUS_ID:105023453349
4,Multi-graph spatio-temporal network for traffic accident risk forecasting,Zou G.,2026-04-01,172,,10.1016/j.patcog.2025.112784,SCOPUS_ID:105022914863
5,Exploring weather-related factors affecting the duration of multiple congestion levels caused by traffic incidents using a multivariate joint frailty survival model,Liu Y.,2026-04-01,43,,10.1016/j.tbs.2025.101209,SCOPUS_ID:105024214714
6,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,2026-03-01,113,,10.1016/j.bspc.2025.108979,SCOPUS_ID:105020970120
7,Do colored lane markings improve road safety? Causal evidence from Seoul,Lee S.,2026-03-01,226,,10.1016/j.aap.2025.108336,SCOPUS_ID:105023952566
8,DSSTN: Dynamic selective spatio-temporal modeling network for traffic flow prediction,Yang Y.,2026-03-01,299,,10.1016/j.eswa.2025.130297,SCOPUS_ID:105024197611
9,A multivariate approach for drowsiness detection using empirical Fourier decomposition,Mahato A.,2026-03-01,113,,10.1016/j.bspc.2025.108944,SCOPUS_ID:105019977098
10,A traffic flow forecasting model based on dynamic graph learning and temporally adaptive attention,Zhang H.,2026-03-01,195,,10.1016/j.ssci.2025.107063,SCOPUS_ID:105023586507
11,Fatigue as a latent risk factor in maritime safety systems: A systematic review and implications for reliability analysis,Crestelo Moreno F.,2026-03-01,267,,10.1016/j.ress.2025.111930,SCOPUS_ID:105021965822
12,Novel V2X-based traffic congestion prediction system,Bereczki N.,2026-02-28,43,,10.1016/j.bdr.2025.100577,SCOPUS_ID:105023831457
13,A comprehensive review of traffic prediction: From traditional machine learning to AutoML,Khatiriolyaee M.,2026-02-14,666,,10.1016/j.neucom.2025.132148,SCOPUS_ID:105023952402
14,Cross-ratio and vehicle dynamics-based speed estimation for traffic accident analysis,Choi Y.,2026-02-01,378,,10.1016/j.forsciint.2025.112675,SCOPUS_ID:105018324289
15,Reconsidering the relationships between different types of traffic violations and traffic accidents involving the same driver from multivariate joint survival models,Liu Y.,2026-02-01,176,,10.1016/j.tranpol.2025.103926,SCOPUS_ID:105023675616
16,Have they taken effect as expected? Unpacking the black box of road safety countermeasure effects,Zhang Y.,2026-02-01,225,,10.1016/j.aap.2025.108309,SCOPUS_ID:105022170502
17,Causal decision-making for speed camera allocation: Methodology and an application,Zhang Y.,2026-02-01,114,,10.1016/j.evalprogplan.2025.102713,SCOPUS_ID:105017892901
18,The effect of license plate number-based vehicle restrictions on crash frequency,Valencia-Cardenas M.C.,2026-02-01,225,,10.1016/j.aap.2025.108326,SCOPUS_ID:105022636436
19,Crash analysis for urban road networks: Semi-parametric spatial negative binomial models with monotonic constraints,Xia M.,2026-02-01,225,,10.1016/j.aap.2025.108329,SCOPUS_ID:105023117609
20,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,2026-02-01,225,,10.1016/j.aap.2025.108311,SCOPUS_ID:105021606484
21,Unpacking temporal trends in U.S. road injury mortality by mode of transportation and sex: An age–period–cohort analysis,Hsu C.K.,2026-02-01,169,,10.1016/j.cities.2025.106492,SCOPUS_ID:105017462771
22,Spatiotemporal evolution of global maritime accidents: Integrating hot spot detection and severity modeling for system safety,Wan C.,2026-02-01,266,,10.1016/j.ress.2025.111687,SCOPUS_ID:105017118337
23,Profiling crash-associated factors and injury risk patterns among lost-in-thought (daydreaming) drivers: a combined cluster-sequence analysis approach,Kalambay P.,2026-02-01,225,,10.1016/j.aap.2025.108315,SCOPUS_ID:105023071317
24,Multi-factor coupled friction coefficient map spatiotemporal modeling and driving risk fusion for rainy roads,Yang L.,2026-02-01,225,,10.1016/j.aap.2025.108313,SCOPUS_ID:105021848309
25,Comprehensive resilience assessment of high-speed rail network in China,Li T.,2026-02-01,204,,10.1016/j.tra.2025.104811,SCOPUS_ID:105023067184
26,Rhabdomyolysis due to a hypernatremia hyperosmolar state in trauma brain injured patient: A case report,Bennis L.,2026-02-01,61,,10.1016/j.tcr.2025.101283,SCOPUS_ID:105022830342
27,Recreation of Horizontal Alignment Using Vehicle Trajectory,Cao D.,2026-02-01,152,,10.1061/JSUED2.SUENG-1631,SCOPUS_ID:105016700487
28,YOLO-RD: Road defect detection with context-aware attention and balanced loss,Wang P.,2026-01-21,662,,10.1016/j.neucom.2025.132000,SCOPUS_ID:105020987159
29,An integrated risk assessment framework for fire accidents on passenger ships,Fu S.,2026-01-15,343,,10.1016/j.oceaneng.2025.123290,SCOPUS_ID:105020828574
30,Measurement and evaluation of the shy away effect of urban main roadside facilities on driver behaviour − based on drone visual data,Chen Y.,2026-01-15,257,,10.1016/j.measurement.2025.119042,SCOPUS_ID:105016317082
31,Short-crested wave-induced ship motion prediction using a CL-CBAM-GRU model,Wei Q.,2026-01-15,343,,10.1016/j.oceaneng.2025.123277,SCOPUS_ID:105021120545
32,Application of the dual-model interpretability framework of XGBoost-SHAP and GAT-GNNExplainer to investigate the impact of the built environment on traffic accidents at intersections,Chen Y.,2026-01-01,224,,10.1016/j.aap.2025.108305,SCOPUS_ID:105020965340
33,STCAGNN-RNKDE: a traffic accident prediction model for spatiotemporal combinatorial attention graph neural networks using Ripley's K and network kernel density estimation,Gao P.,2026-01-01,265,,10.1016/j.ress.2025.111593,SCOPUS_ID:105013739920
34,Cross-age crash risk analysis with high-dimensional small-sample data: An approach integrating feature augmentation and two-layer stacking,Zhu L.,2026-01-01,186,,10.1016/j.asoc.2025.114211,SCOPUS_ID:105021847421
35,Bayesian Network Approaches to Mitigating Risks in Road and Air Travel,Tolouei E.,2026-01-01,Part F1029,351-365,10.1007/978-3-031-89553-1_25,SCOPUS_ID:105019318157
36,Naturalistic Spatial Road Safety Analysis: The SmartMaps Project,Nikolaou D.,2026-01-01,Part F903,256-262,10.1007/978-3-031-88974-5_37,SCOPUS_ID:105015315782
