id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Vehicle extrication in road traffic crashes: a descriptive analysis of an advanced medical rescue service in South Africa,Abdullah N.,2025-06-01,15,621-627,10.1016/j.afjem.2025.04.003,SCOPUS_ID:105004386213
2,Crash data availability and best practices across the United States,Younes H.,2025-01-01,26,970-979,10.1080/15389588.2025.2466201,SCOPUS_ID:105002587519
3,Developing a statewide active transportation planning dashboard with mobility data,Bian R.‘.,2025-01-01,48,67-89,10.1080/03081060.2024.2343901,SCOPUS_ID:85191174006
4,Tableau Driven Insights and Trends of Road Accidents in Kerala from 2018 to 2023,Tejaswi K.,2025-01-01,,,10.1109/ICCC64910.2025.11077297,SCOPUS_ID:105012776236
5,Exploring the Equity Impact: Analyzing the Relationship between Railroad Safety and Sociodemographic Factors,Zahedian S.,2025-01-01,,,10.1177/03611981251332264,SCOPUS_ID:105006979976
6,Pothole Detection using Deep Learning,Rao Alleshwaram V.G.,2025-01-01,,2031-2037,10.1109/ICCMC65190.2025.11140736,SCOPUS_ID:105016904763
7,CLOUD-BASED WEB APPLICATION WITH INTELLIGENT CONNECTED DIGITAL VIDEO RECORDER (ICDVR),Mazlan A.M.A.,2024-06-01,19,1031-1047,,SCOPUS_ID:85197574697
8,Artificial Intelligence for Urban Safety: A Case Study for reducing road accident in Genoa,Marceddu A.,2024-05-31,48,131-138,10.5194/isprs-archives-XLVIII-4-W10-2024-131-2024,SCOPUS_ID:85196747849
9,Road Traffic Accident Prediction using Deep Learning,Girija M.,2024-01-01,,148-159,10.1109/ICC-ROBINS60238.2024.10533897,SCOPUS_ID:85195138522
10,A Geospatial Drug Abuse Risk Assessment and Monitoring Dashboard Tailored for School Students: Development Study With Requirement Analysis and Acceptance Evaluation,Al-Aboosi A.M.,2024-01-01,11,,10.2196/48139,SCOPUS_ID:85200160265
11,Intelligent Driver Guidance Dashboard Framework to Prevent Road Accidents in Poor Visibility Conditions,Perumal P.S.,2024-01-01,,,10.1109/CINS63881.2024.10864452,SCOPUS_ID:85219549647
12,Intelligent driver monitoring system: An Internet of Things-based system for tracking and identifying the driving behavior,Mohammed K.,2023-03-01,84,,10.1016/j.csi.2022.103704,SCOPUS_ID:85141473056
13,Enhancing Road Safety Through Accurate Detection of Hazardous Driving Behaviors With Graph Convolutional Recurrent Networks,Khosravinia P.,2023-01-01,11,52983-52995,10.1109/ACCESS.2023.3280473,SCOPUS_ID:85161018961
14,Roadcast: A Vehicle Incident Management System and Forecasting Implementing Moving Average,Abuan K.F.A.,2023-01-01,579,9-18,10.1007/978-981-19-7663-6_2,SCOPUS_ID:85149956960
15,An Intelligent Pothole Management System Using Multi-Tasking CNN on Android,Chourasia S.,2023-01-01,,258-263,10.1109/INDICON59947.2023.10440909,SCOPUS_ID:85187366237
16,Detecting Vehicles using YOLOv8n in Edge Computing Dashcam,Radim A.S.A.,2023-01-01,,89-94,10.1109/ICICyTA60173.2023.10428952,SCOPUS_ID:85186747708
17,DEVELOPMENT OF SMART CAMPUS APPLICATIONS BASED ON WIRELESS TECHNOLOGIES USING OPEN-SOURCE PLATFORMS,Rashid N.F.A.,2022-04-01,84,173-184,10.11113/jurnalteknologi.v84.16732,SCOPUS_ID:85129206651
18,Effects of vehicle’s human machine interface devices on driving distractions,Obeidat M.S.,2022-01-01,23,414-434,10.1080/1463922X.2021.1975171,SCOPUS_ID:85114811439
19,Design of Driver Monitoring System for Logistics Truck with Design Thinking Approach,Dewi R.N.P.,2021-05-25,,481-487,10.1145/3468013.3468645,SCOPUS_ID:85143887339
20,Digital Labels: Influencing Consumers Trust and Raising Cybersecurity Awareness for Adopting Autonomous Vehicles,Khan W.Z.,2021-01-10,2021-January,,10.1109/ICCE50685.2021.9427684,SCOPUS_ID:85106049743
21,"Collection, analysis, and reporting of kentucky traffic incident management performance",Zhang X.,2021-01-01,2675,167-181,10.1177/03611981211001077,SCOPUS_ID:85118422661
22,Unlocking the Potential of Tracking Technology for Co-created Tourism Planning and Development: Insights from the Tourism Tracer Tasmania Project,Eccleston R.E.,2020-01-02,17,82-95,10.1080/21568316.2019.1683884,SCOPUS_ID:85075021242
23,Development of an IoT based real-time traffic monitoring system for city governance,Sarrab M.,2020-01-01,2,230-245,10.1016/j.glt.2020.09.004,SCOPUS_ID:85102077498
24,Evaluation of VDOT's safety service patrols to improve response to incidents,Abrisqueta A.,2019-04-01,,,10.1109/SIEDS.2019.8735648,SCOPUS_ID:85068564318
25,Analyzing traffic accident and casualty trend using data visualization,Sakib A.,2019-01-01,843,84-94,10.1007/978-3-319-99007-1_9,SCOPUS_ID:85053910383
26,Cloud based performance data analysis and monitoring system for express bus in Malaysia,Hassan R.,2019-01-01,9,1959-1967,10.18517/ijaseit.9.6.7075,SCOPUS_ID:85077562752
27,Repeatability testing of a new Hybrid III 6-year-old ATD lower extremity,Boucher L.C.,2017-05-29,18,S103-S108,10.1080/15389588.2017.1318211,SCOPUS_ID:85019702181
