id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Correlates of Anxiety and Depression Among Youth in India: Findings from a Large-Scale Population-Based Cross-sectional Study,Saraswat N.,2026-12-01,26,,10.34172/jrhs.11330,SCOPUS_ID:105020730487
2,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,2026-03-01,23,,10.1016/j.cstp.2025.101666,SCOPUS_ID:105023178538
3,A Systematic Review on Road Accident Prediction: A Special Attention Toward Machine Learning and Deep Learning Approaches,Verma R.,2026-01-30,35,,10.1142/S0218126625300090,SCOPUS_ID:105014969785
4,"Exploring Vehicular Ad-Hoc Networks: Evaluating Challenges, Applications, and Future Scope in Vehicular Ad-Hoc Networks",Sharma S.,2026-01-01,1477 LNNS,423-434,10.1007/978-981-96-8639-1_35,SCOPUS_ID:105020729677
5,Technology-facilitated gender-based violence: Categorizing and understanding sexual abuse against women ridesharing drivers,Crowley J.E.,2026-01-01,114,,10.1016/j.wsif.2025.103197,SCOPUS_ID:105017100819
6,Discrepancies in media reporting of fatal road crashes and official data in India,Ashutosh A.,2025-12-01,15,,10.1038/s41598-025-14010-2,SCOPUS_ID:105017618149
7,General framework of nonlinear factor interactions using bayesian networks for risk analysis applied to road safety and public health,Carrodano C.,2025-12-01,15,,10.1038/s41598-025-13572-5,SCOPUS_ID:105013348340
8,"Predicting car accident severity in Northwest Ethiopia: a machine learning approach leveraging driver, environmental, and road conditions",Mengistu A.K.,2025-12-01,15,,10.1038/s41598-025-08005-2,SCOPUS_ID:105009543884
9,Equestrian Road Safety: A review of the literature and where next,Chapman C.,2025-12-01,45,,10.1016/j.jth.2025.102193,SCOPUS_ID:105020315544
10,Information Needs and Seeking Behaviour of Long-Distance Bus Drivers in Selected Cities in Nigeria,Nwagwu W.E.,2025-12-01,35,74-103,10.32655/LIBRES.2025.1.4,SCOPUS_ID:105024252622
11,Women's perceived safety in public transport: Insights from the Middle East,Soltani A.,2025-12-01,129,,10.1016/j.jtrangeo.2025.104413,SCOPUS_ID:105015535274
12,Glaucoma and Driving: a Review,Kontos M.,2025-12-01,13,,10.1007/s40135-024-00328-z,SCOPUS_ID:85214217954
13,Advancements in accident-aware traffic management: a comprehensive review of V2X-based route optimization,Zohir H.M.,2025-12-01,15,,10.1038/s41598-025-20878-x,SCOPUS_ID:105018276025
14,Lethal kite threads: Near-decapitation of a motorcyclist,G G.,2025-12-01,93,236-239,10.1177/00258172251325093,SCOPUS_ID:105013856906
15,Investigating pedestrian crash injury patterns: A comparative study of children and non-children,Wang Z.,2025-11-01,222,,10.1016/j.aap.2025.108223,SCOPUS_ID:105015044951
16,Digital roads and data ethics: Exploring the road users’ perspective,Song R.,2025-11-01,115,,10.1016/j.trf.2025.103330,SCOPUS_ID:105012600200
17,An integration of physical and psychological health through the Hero's Journey in Guided Imagery & Music: A cross-case analysis,Heiderscheit A.,2025-11-01,96,,10.1016/j.aip.2025.102348,SCOPUS_ID:105016170113
18,"A comparison of the prevalence of cannabis and alcohol use among drivers and passengers in British Columbia and Ontario, Canada",Pei L.X.,2025-11-01,222,,10.1016/j.aap.2025.108242,SCOPUS_ID:105015742584
19,Real Time Distracted Driver Detection Using Xception Architecture And Raspberry Pi,Narayanan U.,2025-10-19,28,15-29,10.4114/intartif.vol28iss75pp15-29,SCOPUS_ID:85208180532
20,Trends in collisions and traffic mortality rates in Mexico City: A comparison of six data sources,Ortiz M.L.H.,2025-10-01,20,,10.1371/journal.pone.0334103,SCOPUS_ID:105018026521
21,Values and Ethics as Education Policy: Media Framing of Ecuador’s 2024 Curriculum Reform,Tusa F.,2025-10-01,15,,10.3390/educsci15101328,SCOPUS_ID:105020063195
22,"Necessary, but not quite sufficient? Public opinion and reported behaviour following the reduction of speed limits in Scottish rural settlements",Davis A.L.,2025-10-01,44,,10.1016/j.jth.2025.102167,SCOPUS_ID:105016122689
23,Exploring the effect of perceived safety in first/last mile mode choices,Tzouras P.G.,2025-10-01,52,2145-2183,10.1007/s11116-024-10487-4,SCOPUS_ID:85190375933
24,Advancing the design and implementation of accessible taxi services: A study of driver and disabled rider experiences,Comeau É.,2025-10-01,172,,10.1016/j.tranpol.2025.103762,SCOPUS_ID:105012924425
25,Analysis of Injury Severity in Elderly Pedestrian Traffic Accidents Based on XGBoost,Wang H.,2025-09-01,15,,10.3390/app15189909,SCOPUS_ID:105017236811
26,Age-Related Patterns in Pediatric Road Traffic Injuries in Romania,Popa Ș.,2025-09-01,14,,10.3390/jcm14186633,SCOPUS_ID:105017060251
27,The Role of Pedestrian Demographics in Shaping the Attitudes and Safety at Uncontrolled Intersections,Hyder A.,2025-09-01,106,879-889,10.1007/s40030-025-00908-7,SCOPUS_ID:105010600186
