id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Surgical management of paediatric frontal fractures with and without sinus pneumatisation: a multicentre study,Sobrero F.,2026-03-01,127,,10.1016/j.jormas.2025.102607,SCOPUS_ID:105018959823
2,GPS-Based Toll Tracking and Speed Monitoring System,Jawale P.,2026-01-01,1459 LNNS,335-346,10.1007/978-981-96-7505-0_26,SCOPUS_ID:105020245720
3,Integrated improved ant colony optimization and Q-learning for ice navigation route planning,Zhou J.,2025-12-30,342,,10.1016/j.oceaneng.2025.122935,SCOPUS_ID:105018102534
4,"Trends and disparities in motor vehicle collision injuries in Washington, D.C",Calder R.S.D.,2025-12-01,223,,10.1016/j.aap.2025.108243,SCOPUS_ID:105016996123
5,"Quantifying the potential gains in life expectancy from eliminating cardiovascular disease, road traffic injuries, and cancers in Iran",Naserian-Tarhan R.,2025-12-01,18,,10.1186/s13104-025-07502-x,SCOPUS_ID:105018397762
6,"When do emergencies happen? Exploring circadian, weekly, and seasonal trends in ambulance calls in Cyprus",Protopapas A.,2025-12-01,83,,10.1016/j.ienj.2025.101686,SCOPUS_ID:105016872052
7,Epidemiological characteristics of pediatric trauma and the role of the Injury Severity Score in predicting mortality risk: a multicenter study,Bao Y.,2025-12-01,184,,10.1007/s00431-025-06586-8,SCOPUS_ID:105022227476
8,Utility task vehicle crashes and injuries in Iowa,Sternhagen P.R.,2025-12-01,12,,10.1186/s40621-025-00595-9,SCOPUS_ID:105012024524
9,Factors predicting the need for rescue decompressive craniectomy for refractory intracranial hypertension in pediatric traumatic brain injury,Schulien A.,2025-12-01,41,,10.1007/s00381-025-07036-4,SCOPUS_ID:105022522655
10,Evaluating road crash risk for a mega-event: an application to 2026 Milano-Cortina Winter Olympic games,Raccagni S.,2025-11-01,34,,10.1016/j.trip.2025.101709,SCOPUS_ID:105020948164
11,Effectiveness of raised safety platforms: a systematic review of literature,Golbabaei F.,2025-11-01,34,,10.1016/j.trip.2025.101671,SCOPUS_ID:105018223835
12,"Invited commentary on ‘Population health, health equity and health system impacts of light vehicle electrification: a modelling study in Aotearoa/New Zealand’",Nguyen Q.C.,2025-11-01,79,819-820,10.1136/jech-2025-224930,SCOPUS_ID:105017441178
13,IoT-based crash detection system,Pramudhita A.N.,2025-10-30,3334,,10.1063/5.0295189,SCOPUS_ID:105022935841
14,UAV-Based Transport Management for Smart Cities Using Machine Learning,Balivada S.,2025-10-01,8,,10.3390/smartcities8050154,SCOPUS_ID:105020191502
15,Collaborative Real-Time Single-Object Anomaly Detection Framework of Roadside Facilities for Traffic Safety and Management Using Efficient YOLO,Kang J.,2025-10-01,15,,10.3390/app152011139,SCOPUS_ID:105020243584
16,Cluster-based secure internet of vehicles with enhanced secure on-demand distance vector,Dhanare R.,2025-10-01,31,4499-4517,10.1007/s11276-025-04006-1,SCOPUS_ID:105012396058
17,Split vs single-dose oral methotrexate in rheumatoid arthritis: a randomized controlled trial (SMART study),Prasad C.B.,2025-10-01,44,3869-3879,10.1007/s10067-025-07646-y,SCOPUS_ID:105014396437
18,Passable: An Intelligent Traffic Light System with Integrated Incident Detection and Vehicle Alerting,Alzamzami O.,2025-09-01,25,,10.3390/s25185760,SCOPUS_ID:105017240754
19,"Etiology and pattern of zygomatic bone fracture among patients with facial injuries attending Muhimbili National Hospital, Tanzania",Laizer P.J.,2025-09-01,52,,10.11604/pamj.2025.52.13.42463,SCOPUS_ID:105016796718
20,Management of Polytraumatized Patients: Challenges and Insights into Air Transfer,Anghele M.,2025-09-01,13,,10.3390/healthcare13172181,SCOPUS_ID:105016203564
21,Fracture Patterns in Fatal Free Falls: A Systematic Review of Intrinsic and Extrinsic Risk Factors and the Role of Postmortem CT,Woliński F.,2025-09-01,14,,10.3390/jcm14176305,SCOPUS_ID:105016170044
22,Risk-field assessment for signalized intersections using surrogate safety measure,Jeena S.L.,2025-09-01,94,391-403,10.1016/j.jsr.2025.07.003,SCOPUS_ID:105011173606
23,An Analytical Framework for Clustering Roads Based on Crash Severity Analysis,khedher I.,2025-08-01,6,,10.1007/s42979-025-04097-9,SCOPUS_ID:105008937663
24,Study on the Eye Movement Transfer Characteristics of Drivers Under Different Road Conditions,Hao Z.,2025-08-01,15,,10.3390/app15158559,SCOPUS_ID:105013332406
25,The multi-factor effects study on mechanical properties of rat skin using orthogonal experimental design,Yang S.,2025-08-01,168,,10.1016/j.jmbbm.2025.107018,SCOPUS_ID:105003278559
26,Design of Machine Learning-Based Software for Transportation Optimization and Accident Reduction,Arce-Cocha G.,2025-07-01,73,61-69,10.14445/22315381/IJETT-V73I7P107,SCOPUS_ID:105013348928
27,"How do demographic factors, non-standard and out-of-position seating affect vehicle occupant injury outcomes in road traffic collisions?",Baker C.E.,2025-07-01,187,,10.1016/j.ssci.2025.106834,SCOPUS_ID:86000804007
28,Misreporting of Freezing Fog during Snowfall Conditions in U.S. METAR Observations,Landolt S.D.,2025-07-01,64,705-716,10.1175/JAMC-D-24-0186.1,SCOPUS_ID:105010474947
29,Hard braking events in bioptic drivers with central vision impairment,Deffler R.A.,2025-07-01,45,1186-1194,10.1111/opo.13496,SCOPUS_ID:105001876411
30,Real-Time image enhancement following road scenario classification using deep learning,Anoop P.P.,2025-06-30,251,,10.1016/j.measurement.2025.117192,SCOPUS_ID:86000506210
31,"Colour Vision Deficiency: Prevalence and Associated Socio-demographic Characteristics among Commercial Motor-Vehicle Drivers in Benin City Metropolis, Edo State, Nigeria",Moyegbone J.E.,2025-06-29,8,109-117,10.38029/babcockuniv.med.j..v8i1.599,SCOPUS_ID:105011648598
32,"Etiology and pattern of maxillofacial fractures among patients who visited Jimma Medical Center Dental Clinic, Jimma, Southwest Ethiopia",Wayiso G.T.,2025-06-06,104,,10.1097/MD.0000000000042569,SCOPUS_ID:105007942456
33,The Dashboard of Remote Monitoring System for Driver Fatigue,Hidayat R.N.,2025-06-01,58,1089-1100,10.18280/jesa.580601,SCOPUS_ID:105012209983
34,Assessment of the skull fracture prediction capability of finite element head models,Pozzi C.,2025-06-01,69,114-161,10.4271/2025-22-0005,SCOPUS_ID:105010547611
35,Vehicle extrication in road traffic crashes: a descriptive analysis of an advanced medical rescue service in South Africa,Abdullah N.,2025-06-01,15,621-627,10.1016/j.afjem.2025.04.003,SCOPUS_ID:105004386213
36,An Experimental Study of the Effect of Impact Strength and Impact Location on the Behavior and Pathology of Traumatic Brain Injury in Rats,Wang P.,2025-05-25,47,940-969,10.19562/j.chinasae.qcgc.2025.05.014,SCOPUS_ID:105005768160
37,Comprehensibility and impact of vehicle dashboard indicator light symbols on drivers’ preventive maintenance compliance,Atombo C.,2025-05-01,20,,10.1371/journal.pone.0323386,SCOPUS_ID:105005205634
38,Examination of risks affecting the formation of cervical disc herniation with FMEA and Pareto analysis methodology,Can B.,2025-05-01,47,138-151,10.1016/j.ft.2025.02.005,SCOPUS_ID:105002639558
