,title,author,journal,volume,pagerange,date,doi
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:0,Real-time driver activity detection using advanced deep learning models,AL Emran M.,Cognitive Neurodynamics,20,,December 2026,10.1007/s11571-025-10376-1
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:1,"Patterns, Causes, and Mortality Trends of Road Traffic Accidents in Hamedan Province, Iran: A Spatiotemporal Epidemiological Analysis (2011–2024)",Jalili E.,Journal of Research in Health Sciences,26,,Winter 2026,10.34172/jrhs.11510
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:2,Correlates of Anxiety and Depression Among Youth in India: Findings from a Large-Scale Population-Based Cross-sectional Study,Saraswat N.,Journal of Research in Health Sciences,26,,Winter 2026,10.34172/jrhs.11330
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:3,Application study of endoscopic middle meningeal artery interruption combined with hematoma evacuation for the treatment of chronic subdural hematoma,Chen M.,Neurosurgical Review,49,,December 2026,10.1007/s10143-025-03929-9
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:4,Long-term functionality and quality of life after open pelvic ring fractures,Cerbasi S.,European Journal of Orthopaedic Surgery and Traumatology,36,,December 2026,10.1007/s00590-025-04607-8
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:5,Evaluation of Optimal Turns Configuration at Intersections in Urban Roads Network Based on Safety and Congestion indices using Non-dominated Sorting Genetic Algorithm-2,Asgari M.,International Journal of Engineering Transactions B Applications,39,1988-2011,August 2026,10.5829/ije.2026.39.08b.16
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:6,"Monthly rural-urban scaling of road accidents in England, Wales and Scotland (2019-2023)",Copsey I.,Applied Mathematics and Computation,516,,1 May 2026,10.1016/j.amc.2025.129874
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:7,Multi-graph spatio-temporal network for traffic accident risk forecasting,Zou G.,Pattern Recognition,172,,April 2026,10.1016/j.patcog.2025.112784
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:8,Exploring weather-related factors affecting the duration of multiple congestion levels caused by traffic incidents using a multivariate joint frailty survival model,Liu Y.,Travel Behaviour and Society,43,,April 2026,10.1016/j.tbs.2025.101209
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:9,Exploring the Potential and Utility of Graph Neural Networks in Crash Analysis and Safety Assessment,Ulak M.B.,Data Science for Transportation,8,,April 2026,10.1007/s42421-025-00144-2
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:10,Self-management of lower extremity fracture patients: A concept analysis review,Nur A.,Multidisciplinary Reviews,9,,April 2026,10.31893/multirev.2026187
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:11,An ergonomics study on side- and rear-view CMS display locations in two lane-changing scenarios,Ryu J.,Applied Ergonomics,132,,April 2026,10.1016/j.apergo.2025.104698
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:12,Designing the future of flight: A socio-technical framework for single-pilot operations in commercial aviation,Lopes N.M.,Journal of Air Transport Management,132,,April 2026,10.1016/j.jairtraman.2025.102939
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:13,Reducing pandemic outbreak risks and economic losses in aviation: A segmented incentive-penalty approach,Bo L.,Journal of Air Transport Management,132,,April 2026,10.1016/j.jairtraman.2025.102947
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:14,The importance of national culture factors identification in aviation incident analysis,Pratama G.B.,Journal of Air Transport Management,132,,April 2026,10.1016/j.jairtraman.2025.102938
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:15,Post-neurosurgical meningitis by Naegleria fowleri and Staphylococcus aureus in Ecuador: A case report,Montalvo E.,Parasitology International,111,,April 2026,10.1016/j.parint.2025.103179
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:16,Pharmacopuncture for patients with psychological stress caused by traffic accidents: A pragmatic randomized controlled pilot trial,Son J.Y.,Integrative Medicine Research,15,,March 2026,10.1016/j.imr.2025.101251
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:17,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,Biomedical Signal Processing and Control,113,,March 2026,10.1016/j.bspc.2025.108979
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:18,Desirable bikeways from the perspective of perceived safety using the ‘Hiyari Hatto Map’ in Japan,Tsuchiya K.,Case Studies on Transport Policy,23,,March 2026,10.1016/j.cstp.2025.101665
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:19,Do colored lane markings improve road safety? Causal evidence from Seoul,Lee S.,Accident Analysis and Prevention,226,,March 2026,10.1016/j.aap.2025.108336
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:20,Automated geolocalization of vehicles from UAV footage: evaluating measurement precision of object detection and segmentation methods,Ahmed M.W.,Applied Geomatics,18,,March 2026,10.1007/s12518-025-00662-2
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:21,Fatigue as a latent risk factor in maritime safety systems: A systematic review and implications for reliability analysis,Crestelo Moreno F.,Reliability Engineering and System Safety,267,,March 2026,10.1016/j.ress.2025.111930
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:22,Surgical management of paediatric frontal fractures with and without sinus pneumatisation: a multicentre study,Sobrero F.,Journal of Stomatology Oral and Maxillofacial Surgery,127,,March 2026,10.1016/j.jormas.2025.102607
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:23,A cross-scale traffic-communication control framework for improving safety through proactive congestion mitigation in mixed traffic,Wu Z.,Accident Analysis and Prevention,226,,March 2026,10.1016/j.aap.2025.108339
Core Terms (used in all domains) + Vehicular Crash / Road Safety ID:24,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,Case Studies on Transport Policy,23,,March 2026,10.1016/j.cstp.2025.101666
Core Terms (used in all domains) + Visualization Concepts ID:0,"Patterns, Causes, and Mortality Trends of Road Traffic Accidents in Hamedan Province, Iran: A Spatiotemporal Epidemiological Analysis (2011–2024)",Jalili E.,Journal of Research in Health Sciences,26,,Winter 2026,10.34172/jrhs.11510
Core Terms (used in all domains) + Visualization Concepts ID:1,"Monthly rural-urban scaling of road accidents in England, Wales and Scotland (2019-2023)",Copsey I.,Applied Mathematics and Computation,516,,1 May 2026,10.1016/j.amc.2025.129874
Core Terms (used in all domains) + Visualization Concepts ID:2,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,Biomedical Signal Processing and Control,113,,March 2026,10.1016/j.bspc.2025.108979
Core Terms (used in all domains) + Visualization Concepts ID:3,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108311
Core Terms (used in all domains) + Visualization Concepts ID:4,An anchor-free automatic evaluation system for pavement surface distress using UAV aerial photograph,Yang T.,Measurement Journal of the International Measurement Confederation,259,,1 February 2026,10.1016/j.measurement.2025.119669
Core Terms (used in all domains) + Visualization Concepts ID:5,LiDAR-GPS Integrated System for Real-Time Pothole Detection and Visualization Using Google Earth,Pattanashetty V.B.,Lecture Notes in Networks and Systems,1656 LNNS,215-224,2026,10.1007/978-3-032-06703-6_21
Core Terms (used in all domains) + Visualization Concepts ID:6,Application of the dual-model interpretability framework of XGBoost-SHAP and GAT-GNNExplainer to investigate the impact of the built environment on traffic accidents at intersections,Chen Y.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108305
Core Terms (used in all domains) + Visualization Concepts ID:7,Mapping Risk Factors to Build Inclusive Roads: A Systematic Diagnosis for Enhancing Vulnerable Users and Persons with Reduced Mobility Safety,Maestroni D.,Lecture Notes in Computer Science,15898 LNCS,87-104,2026,10.1007/978-3-031-97657-5_6
Core Terms (used in all domains) + Visualization Concepts ID:8,Characteristics analysis of autonomous vehicle pre-crash scenarios,Li Y.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108285
Core Terms (used in all domains) + Visualization Concepts ID:9,Naturalistic Spatial Road Safety Analysis: The SmartMaps Project,Nikolaou D.,Lecture Notes in Mobility,Part F903,256-262,2026,10.1007/978-3-031-88974-5_37
Core Terms (used in all domains) + Visualization Concepts ID:10,Analysis of Hidden Patterns in Road Accident Dataset Using Clustering Techniques,Velesaca H.O.,Communications in Computer and Information Science,2393 CCIS,96-111,2026,10.1007/978-3-031-98290-3_8
Core Terms (used in all domains) + Visualization Concepts ID:11,Collaborative Perception for Self-driving Vehicles Using Federated Learning on Edge Devices,Huang Q.,Communications in Computer and Information Science,2596 CCIS,120-132,2026,10.1007/978-981-95-1331-4_10
Core Terms (used in all domains) + Visualization Concepts ID:12,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,Lecture Notes in Computer Science,15896 LNCS,401-418,2026,10.1007/978-3-031-97654-4_25
Core Terms (used in all domains) + Visualization Concepts ID:13,Integrating criminal offense prevention into road traffic safety: A criminological and empirical assessment,Nechypailo V.,Multidisciplinary Science Journal,8,,2026,10.31893/multiscience.2026129
Core Terms (used in all domains) + Analytical Dimension / Focus ID:0,"Patterns, Causes, and Mortality Trends of Road Traffic Accidents in Hamedan Province, Iran: A Spatiotemporal Epidemiological Analysis (2011–2024)",Jalili E.,Journal of Research in Health Sciences,26,,Winter 2026,10.34172/jrhs.11510
Core Terms (used in all domains) + Analytical Dimension / Focus ID:1,Correlates of Anxiety and Depression Among Youth in India: Findings from a Large-Scale Population-Based Cross-sectional Study,Saraswat N.,Journal of Research in Health Sciences,26,,Winter 2026,10.34172/jrhs.11330
Core Terms (used in all domains) + Analytical Dimension / Focus ID:2,Long-term functionality and quality of life after open pelvic ring fractures,Cerbasi S.,European Journal of Orthopaedic Surgery and Traumatology,36,,December 2026,10.1007/s00590-025-04607-8
Core Terms (used in all domains) + Analytical Dimension / Focus ID:3,Multi-graph spatio-temporal network for traffic accident risk forecasting,Zou G.,Pattern Recognition,172,,April 2026,10.1016/j.patcog.2025.112784
Core Terms (used in all domains) + Analytical Dimension / Focus ID:4,Exploring weather-related factors affecting the duration of multiple congestion levels caused by traffic incidents using a multivariate joint frailty survival model,Liu Y.,Travel Behaviour and Society,43,,April 2026,10.1016/j.tbs.2025.101209
Core Terms (used in all domains) + Analytical Dimension / Focus ID:5,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,Biomedical Signal Processing and Control,113,,March 2026,10.1016/j.bspc.2025.108979
Core Terms (used in all domains) + Analytical Dimension / Focus ID:6,Do colored lane markings improve road safety? Causal evidence from Seoul,Lee S.,Accident Analysis and Prevention,226,,March 2026,10.1016/j.aap.2025.108336
Core Terms (used in all domains) + Analytical Dimension / Focus ID:7,DSSTN: Dynamic selective spatio-temporal modeling network for traffic flow prediction,Yang Y.,Expert Systems with Applications,299,,1 March 2026,10.1016/j.eswa.2025.130297
Core Terms (used in all domains) + Analytical Dimension / Focus ID:8,A multivariate approach for drowsiness detection using empirical Fourier decomposition,Mahato A.,Biomedical Signal Processing and Control,113,,March 2026,10.1016/j.bspc.2025.108944
Core Terms (used in all domains) + Analytical Dimension / Focus ID:9,A traffic flow forecasting model based on dynamic graph learning and temporally adaptive attention,Zhang H.,Safety Science,195,,March 2026,10.1016/j.ssci.2025.107063
Core Terms (used in all domains) + Analytical Dimension / Focus ID:10,Fatigue as a latent risk factor in maritime safety systems: A systematic review and implications for reliability analysis,Crestelo Moreno F.,Reliability Engineering and System Safety,267,,March 2026,10.1016/j.ress.2025.111930
Core Terms (used in all domains) + Analytical Dimension / Focus ID:11,Novel V2X-based traffic congestion prediction system,Bereczki N.,Big Data Research,43,,28 February 2026,10.1016/j.bdr.2025.100577
Core Terms (used in all domains) + Analytical Dimension / Focus ID:12,A comprehensive review of traffic prediction: From traditional machine learning to AutoML,Khatiriolyaee M.,Neurocomputing,666,,14 February 2026,10.1016/j.neucom.2025.132148
Core Terms (used in all domains) + Analytical Dimension / Focus ID:13,Cross-ratio and vehicle dynamics-based speed estimation for traffic accident analysis,Choi Y.,Forensic Science International,378,,February 2026,10.1016/j.forsciint.2025.112675
Core Terms (used in all domains) + Analytical Dimension / Focus ID:14,Reconsidering the relationships between different types of traffic violations and traffic accidents involving the same driver from multivariate joint survival models,Liu Y.,Transport Policy,176,,February 2026,10.1016/j.tranpol.2025.103926
Core Terms (used in all domains) + Analytical Dimension / Focus ID:15,Have they taken effect as expected? Unpacking the black box of road safety countermeasure effects,Zhang Y.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108309
Core Terms (used in all domains) + Analytical Dimension / Focus ID:16,Causal decision-making for speed camera allocation: Methodology and an application,Zhang Y.,Evaluation and Program Planning,114,,February 2026,10.1016/j.evalprogplan.2025.102713
Core Terms (used in all domains) + Analytical Dimension / Focus ID:17,The effect of license plate number-based vehicle restrictions on crash frequency,Valencia-Cardenas M.C.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108326
Core Terms (used in all domains) + Analytical Dimension / Focus ID:18,Crash analysis for urban road networks: Semi-parametric spatial negative binomial models with monotonic constraints,Xia M.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108329
Core Terms (used in all domains) + Analytical Dimension / Focus ID:19,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108311
Core Terms (used in all domains) + Analytical Dimension / Focus ID:20,Unpacking temporal trends in U.S. road injury mortality by mode of transportation and sex: An age–period–cohort analysis,Hsu C.K.,Cities,169,,February 2026,10.1016/j.cities.2025.106492
Core Terms (used in all domains) + Analytical Dimension / Focus ID:21,Spatiotemporal evolution of global maritime accidents: Integrating hot spot detection and severity modeling for system safety,Wan C.,Reliability Engineering and System Safety,266,,February 2026,10.1016/j.ress.2025.111687
Core Terms (used in all domains) + Analytical Dimension / Focus ID:22,Profiling crash-associated factors and injury risk patterns among lost-in-thought (daydreaming) drivers: a combined cluster-sequence analysis approach,Kalambay P.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108315
Core Terms (used in all domains) + Analytical Dimension / Focus ID:23,Multi-factor coupled friction coefficient map spatiotemporal modeling and driving risk fusion for rainy roads,Yang L.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108313
Core Terms (used in all domains) + Analytical Dimension / Focus ID:24,Comprehensive resilience assessment of high-speed rail network in China,Li T.,Transportation Research Part A Policy and Practice,204,,February 2026,10.1016/j.tra.2025.104811
Core Terms (used in all domains) + Audience / Application Context ID:0,Correlates of Anxiety and Depression Among Youth in India: Findings from a Large-Scale Population-Based Cross-sectional Study,Saraswat N.,Journal of Research in Health Sciences,26,,Winter 2026,10.34172/jrhs.11330
Core Terms (used in all domains) + Audience / Application Context ID:1,"Monthly rural-urban scaling of road accidents in England, Wales and Scotland (2019-2023)",Copsey I.,Applied Mathematics and Computation,516,,1 May 2026,10.1016/j.amc.2025.129874
Core Terms (used in all domains) + Audience / Application Context ID:2,Exploring weather-related factors affecting the duration of multiple congestion levels caused by traffic incidents using a multivariate joint frailty survival model,Liu Y.,Travel Behaviour and Society,43,,April 2026,10.1016/j.tbs.2025.101209
Core Terms (used in all domains) + Audience / Application Context ID:3,Exploring the Potential and Utility of Graph Neural Networks in Crash Analysis and Safety Assessment,Ulak M.B.,Data Science for Transportation,8,,April 2026,10.1007/s42421-025-00144-2
Core Terms (used in all domains) + Audience / Application Context ID:4,Designing the future of flight: A socio-technical framework for single-pilot operations in commercial aviation,Lopes N.M.,Journal of Air Transport Management,132,,April 2026,10.1016/j.jairtraman.2025.102939
Core Terms (used in all domains) + Audience / Application Context ID:5,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,Case Studies on Transport Policy,23,,March 2026,10.1016/j.cstp.2025.101666
Core Terms (used in all domains) + Audience / Application Context ID:6,DSSTN: Dynamic selective spatio-temporal modeling network for traffic flow prediction,Yang Y.,Expert Systems with Applications,299,,1 March 2026,10.1016/j.eswa.2025.130297
Core Terms (used in all domains) + Audience / Application Context ID:7,Do driver assistance systems mitigate passengers’ perceived risk when riding with a driver under the influence of alcohol? Evidence from a discrete choice experiment among youths,Biondi B.,Transport Policy,177,,March 2026,10.1016/j.tranpol.2025.103940
Core Terms (used in all domains) + Audience / Application Context ID:8,Assessing Road Safety Challenges in Rapidly Urbanizing Cities: A Fuzzy Logic and Factor Comparison Method Approach,Bhattacharya K.,Journal of Legal Affairs and Dispute Resolution in Engineering and Construction,18,,1 February 2026,10.1061/JLADAH.LADR-1368
Core Terms (used in all domains) + Audience / Application Context ID:9,The effect of license plate number-based vehicle restrictions on crash frequency,Valencia-Cardenas M.C.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108326
Core Terms (used in all domains) + Audience / Application Context ID:10,Evaluating driver preferences between punitive and non-punitive speeding penalties: Results from a stated choice experiment,Theofilatos A.,Journal of Safety Research,96,64-73,February 2026,10.1016/j.jsr.2025.11.012
Core Terms (used in all domains) + Audience / Application Context ID:11,Comparing idle times of public bicycles in Beijing's free-floating and Seoul's dock-based systems,Chung J.,Cities,169,,February 2026,10.1016/j.cities.2025.106564
Core Terms (used in all domains) + Audience / Application Context ID:12,"An introduction to tunnel lighting: Basis, calculations, and future lines in the interface between safety and sustainability",Peña-García A.,Underground Space New,26,220-234,February 2026,10.1016/j.undsp.2025.06.008
Core Terms (used in all domains) + Audience / Application Context ID:13,A Systematic Review on Road Accident Prediction: A Special Attention Toward Machine Learning and Deep Learning Approaches,Verma R.,Journal of Circuits Systems and Computers,35,,30 January 2026,10.1142/S0218126625300090
Core Terms (used in all domains) + Audience / Application Context ID:14,A Mutual Distillation Network for single-channel EEG-based driver fatigue detection,Guo Y.,Measurement Journal of the International Measurement Confederation,257,,15 January 2026,10.1016/j.measurement.2025.118644
